Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
NumeroIndicacao,hasco:originalId,??indicacao,,,,,,,,,,
ResponsavelNome,freya:Indicacao,??responsavel,,,,,,,,,,
TipoIndicacao,freya:Indicacao,??execucaodaindicacao,,,,,,,,,,
DescricaoMunicipio,freya:Municipio,??municipiobeneficiario,,,,,,,,,,
NomeGrupoDespesa,freya:GrupoDespesa,??grupodespesa,,,,,,,,,,
NomeConvenenteBeneficiado,freya:Beneficiario,??nomedobeneficiario,,,,,,,,,,
valorIndicado,freya:Indicacao,??valorindicacao,,,,,,,,,,
??indicacao,,,freya:Indicacao,,,,,,,,,
??responsavel,,,freya:ResponsavelNome,,,,,,,,,
??indicacao,,,freya:Indicacao,,,freya:indicacaoPossui,freya:ResponsavelNome,,,,,
??execucaodaindicacao,,,freya:TipoIndicacao,,,,,,,,,
??indicacao,,,freya:Indicacao,,,freya:indicacaoPossuiTipo,freya:TipoIndicacao,,,,,
??grupodespesa,,,freya:GrupoDespesa,,,,,,,,,
??indicacao,,,freya:Indicacao,,,freya:indicacoPossuiGrupoDespesa,freya:GrupoDespesa,,,,,
??municipiobeneficiario,,,freya:Municipio,,,,,,,,,
??nomedobeneficiario,,,freya:Beneficiario,,,freya:beneficiarioSituadoEm,freya:Municipio,,,,,
??indicacao,,,freya:Indicacao,,,freya:indicacaoBeneficia,freya:Beneficiario,,,,,
??valorindicacao,,,freya:ValorIndicacao,,,,,,,,,
??indicacao,,,freya:Indicacao,,,freya:possuiValorIndicacao,freya:ValorIndicacao,,,,,
??nomedobeneficiario,,,freya:Beneficiario,,,freya:benefiadorPor,freya:TipoIndicacao,,,,,
